"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0985915492957746,0.0722783852465028,0.0353794831336766,0.167935336237781,0.0292477623537686
2,71,0.112676056338028,0.0969472837364637,0.0375256086580467,0.1862262493078,0.0391258633682567
3,71,0.0563380281690141,0.113472282948005,0.0273640184098717,0.109971504252363,0.00270455208566563
4,71,0.126760563380282,0.134716301989758,0.0394847667099346,0.204150706131754,0.0493704206288098
5,71,0.183098591549296,0.154223414985125,0.0458984637691245,0.27305958053678,0.0931376025618118
6,71,0.253521126760563,0.171258554605264,0.0516281620177655,0.354712324315384,0.152329929205743
7,71,0.169014084507042,0.188020902574757,0.04447634657729,0.256187723798531,0.0818404452155538
8,70,0.228571428571429,0.206102987942303,0.0501891466087817,0.326942155924641,0.130200701218216
9,70,0.171428571428571,0.232071593043309,0.0450461376696209,0.259719001261028,0.0831381415961145
10,70,0.257142857142857,0.294152788145588,0.0522385200188609,0.359530356379825,0.15475535790589
