"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.126760563380282,0.0236921094624165,0.0394847667099346,0.204150706131754,0.0493704206288098
2,71,0.112676056338028,0.0622338823226085,0.0375256086580467,0.1862262493078,0.0391258633682567
3,71,0.126760563380282,0.0866835135039248,0.0394847667099346,0.204150706131754,0.0493704206288098
4,71,0.0563380281690141,0.106477785184777,0.0273640184098717,0.109971504252363,0.00270455208566563
5,71,0.169014084507042,0.124728986956216,0.04447634657729,0.256187723798531,0.0818404452155538
6,71,0.154929577464789,0.148140551128247,0.0429422152664617,0.239096319387054,0.0707628355425238
7,71,0.197183098591549,0.178755421012302,0.0472186887418358,0.289731728525548,0.104634468657551
8,70,0.228571428571429,0.214787943776773,0.0501891466087817,0.326942155924641,0.130200701218216
9,70,0.271428571428571,0.275616781246469,0.0531514147158604,0.375605344271658,0.167251798585485
10,70,0.214285714285714,0.41322199235342,0.0490433258803997,0.310410633011298,0.118160795560131
