"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0985915492957746,0.0536810806575976,0.0353794831336766,0.167935336237781,0.0292477623537686
2,71,0.0985915492957746,0.0842152623636077,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.0985915492957746,0.102044288974051,0.0353794831336766,0.167935336237781,0.0292477623537686
4,71,0.154929577464789,0.116743923051832,0.0429422152664617,0.239096319387054,0.0707628355425238
5,71,0.140845070422535,0.13532227042414,0.0412835841194703,0.221760895296697,0.0599292455483733
6,71,0.140845070422535,0.159466804639494,0.0412835841194703,0.221760895296697,0.0599292455483733
7,71,0.197183098591549,0.190715169373446,0.0472186887418358,0.289731728525548,0.104634468657551
8,70,0.171428571428571,0.22199047730671,0.0450461376696209,0.259719001261028,0.0831381415961145
9,70,0.3,0.263661103446425,0.0547722557505166,0.407353621271013,0.192646378728987
10,70,0.257142857142857,0.3705723029863,0.0522385200188609,0.359530356379825,0.15475535790589
