"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0985915492957746,0.0733155676763187,0.0353794831336766,0.167935336237781,0.0292477623537686
2,71,0.0985915492957746,0.0963692275818865,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.0704225352112676,0.112238232605568,0.0303647316140876,0.129937409174879,0.010907661247656
4,71,0.112676056338028,0.133163192802266,0.0375256086580467,0.1862262493078,0.0391258633682567
5,71,0.211267605633803,0.154249905077966,0.0484453524629706,0.306220496461225,0.116314714806381
6,71,0.225352112676056,0.171809992779332,0.0495853990873811,0.322539494887323,0.128164730464789
7,71,0.197183098591549,0.18769212139617,0.0472186887418358,0.289731728525548,0.104634468657551
8,70,0.2,0.206762701338968,0.0478091443733758,0.293705922971816,0.106294077028184
9,70,0.157142857142857,0.23437475042122,0.0434986008956999,0.242400114898429,0.0718855993872854
10,70,0.285714285714286,0.295646338314368,0.0539949247156039,0.391544338156869,0.179884233271702
