"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0985915492957746,0.0697872905217831,0.0353794831336766,0.167935336237781,0.0292477623537686
2,71,0.112676056338028,0.0964873276027359,0.0375256086580467,0.1862262493078,0.0391258633682567
3,71,0.0563380281690141,0.116650290382487,0.0273640184098717,0.109971504252363,0.00270455208566563
4,71,0.126760563380282,0.136318577219453,0.0394847667099346,0.204150706131754,0.0493704206288098
5,71,0.23943661971831,0.15769559024013,0.0506446783845902,0.338700189352107,0.140173050084513
6,71,0.154929577464789,0.175488865504991,0.0429422152664617,0.239096319387054,0.0707628355425238
7,71,0.225352112676056,0.191071629700635,0.0495853990873811,0.322539494887323,0.128164730464789
8,70,0.185714285714286,0.207792888920288,0.0464795638343068,0.276814230829527,0.0946143405990443
9,70,0.185714285714286,0.230140814175247,0.0464795638343068,0.276814230829527,0.0946143405990443
10,70,0.271428571428571,0.279768207277643,0.0531514147158604,0.375605344271658,0.167251798585485
