"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.126760563380282,0.0770598181658341,0.0394847667099346,0.204150706131754,0.0493704206288098
2,71,0.0985915492957746,0.100357848299601,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.112676056338028,0.118244167757247,0.0375256086580467,0.1862262493078,0.0391258633682567
4,71,0.140845070422535,0.138383944661842,0.0412835841194703,0.221760895296697,0.0599292455483733
5,71,0.126760563380282,0.157792223825603,0.0394847667099346,0.204150706131754,0.0493704206288098
6,71,0.183098591549296,0.176674419799535,0.0458984637691245,0.27305958053678,0.0931376025618118
7,71,0.211267605633803,0.191888128692727,0.0484453524629706,0.306220496461225,0.116314714806381
8,70,0.2,0.2074849576564,0.0478091443733758,0.293705922971816,0.106294077028184
9,70,0.214285714285714,0.226557281562364,0.0490433258803997,0.310410633011298,0.118160795560131
10,70,0.242857142857143,0.266956981746186,0.0512525331806575,0.343312107891232,0.142402177823054
