"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0704225352112676,0.0676997664548433,0.0303647316140876,0.129937409174879,0.010907661247656
2,71,0.169014084507042,0.0912407177203671,0.04447634657729,0.256187723798531,0.0818404452155538
3,71,0.169014084507042,0.113335032790877,0.04447634657729,0.256187723798531,0.0818404452155538
4,71,0.112676056338028,0.130679418414376,0.0375256086580467,0.1862262493078,0.0391258633682567
5,71,0.126760563380282,0.145217521368582,0.0394847667099346,0.204150706131754,0.0493704206288098
6,71,0.0985915492957746,0.160627265191621,0.0353794831336766,0.167935336237781,0.0292477623537686
7,71,0.183098591549296,0.177925361367361,0.0458984637691245,0.27305958053678,0.0931376025618118
8,70,0.185714285714286,0.199005545956115,0.0464795638343068,0.276814230829527,0.0946143405990443
9,70,0.271428571428571,0.239273454536823,0.0531514147158604,0.375605344271658,0.167251798585485
10,70,0.271428571428571,0.349349517710416,0.0531514147158604,0.375605344271658,0.167251798585485
