"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0,0.0429280057792913,0,0,0
2,71,0,0.0772817118877726,0,0,0
3,71,0.0140845070422535,0.106346201080229,0.0139849686427412,0.0414950455820262,-0.0133260314975192
4,71,0.0704225352112676,0.137699524053514,0.0303647316140876,0.129937409174879,0.010907661247656
5,71,0.0704225352112676,0.178848507538158,0.0303647316140876,0.129937409174879,0.010907661247656
6,71,0.253521126760563,0.24090618889096,0.0516281620177655,0.354712324315384,0.152329929205743
7,71,0.619718309859155,0.329097196080966,0.0576130274641426,0.732639843688874,0.506796776029435
8,70,0.557142857142857,0.637683133038923,0.0593698689665715,0.673507800317337,0.440777913968377
9,70,0.0714285714285714,0.856766931663237,0.0307818431204048,0.131760983944565,0.011096158912578
10,70,0,0.944336336386818,0,0,0
