"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.140845070422535,0.0815910827061778,0.0412835841194703,0.221760895296697,0.0599292455483733
2,71,0.126760563380282,0.109791711630427,0.0394847667099346,0.204150706131754,0.0493704206288098
3,71,0.140845070422535,0.12188786160028,0.0412835841194703,0.221760895296697,0.0599292455483733
4,71,0.0985915492957746,0.131565296430271,0.0353794831336766,0.167935336237781,0.0292477623537686
5,71,0.0985915492957746,0.145828932997992,0.0353794831336766,0.167935336237781,0.0292477623537686
6,71,0.211267605633803,0.160221488168893,0.0484453524629706,0.306220496461225,0.116314714806381
7,71,0.140845070422535,0.176763451454126,0.0412835841194703,0.221760895296697,0.0599292455483733
8,70,0.171428571428571,0.196407442341742,0.0450461376696209,0.259719001261028,0.0831381415961145
9,70,0.214285714285714,0.228313445244403,0.0490433258803997,0.310410633011298,0.118160795560131
10,70,0.314285714285714,0.310284391675544,0.0554861892831557,0.423038645280699,0.205532783290729
