"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.154929577464789,0.066616275044992,0.0429422152664617,0.239096319387054,0.0707628355425238
2,71,0.126760563380282,0.095582494984043,0.0394847667099346,0.204150706131754,0.0493704206288098
3,71,0.0985915492957746,0.1076373748292,0.0353794831336766,0.167935336237781,0.0292477623537686
4,71,0.126760563380282,0.121643616469168,0.0394847667099346,0.204150706131754,0.0493704206288098
5,71,0.140845070422535,0.140309374187639,0.0412835841194703,0.221760895296697,0.0599292455483733
6,71,0.183098591549296,0.161229375630231,0.0458984637691245,0.27305958053678,0.0931376025618118
7,71,0.126760563380282,0.185615468208772,0.0394847667099346,0.204150706131754,0.0493704206288098
8,70,0.214285714285714,0.213825299398017,0.0490433258803997,0.310410633011298,0.118160795560131
9,70,0.228571428571429,0.250943938638004,0.0501891466087817,0.326942155924641,0.130200701218216
10,70,0.257142857142857,0.348122956096931,0.0522385200188609,0.359530356379825,0.15475535790589
