"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.126760563380282,0.0763933381410691,0.0394847667099346,0.204150706131754,0.0493704206288098
2,71,0.0985915492957746,0.096298806950647,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.126760563380282,0.114660850976897,0.0394847667099346,0.204150706131754,0.0493704206288098
4,71,0.154929577464789,0.133647276360517,0.0429422152664617,0.239096319387054,0.0707628355425238
5,71,0.211267605633803,0.151199479262963,0.0484453524629706,0.306220496461225,0.116314714806381
6,71,0.197183098591549,0.167259519572287,0.0472186887418358,0.289731728525548,0.104634468657551
7,71,0.112676056338028,0.183149286556037,0.0375256086580467,0.1862262493078,0.0391258633682567
8,70,0.171428571428571,0.201708396687885,0.0450461376696209,0.259719001261028,0.0831381415961145
9,70,0.157142857142857,0.235903450350921,0.0434986008956999,0.242400114898429,0.0718855993872854
10,70,0.3,0.311520685525864,0.0547722557505166,0.407353621271013,0.192646378728987
