"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.112676056338028,0.0455998217807989,0.0375256086580467,0.1862262493078,0.0391258633682567
2,71,0.169014084507042,0.0737166806173184,0.04447634657729,0.256187723798531,0.0818404452155538
3,71,0.112676056338028,0.0960316671284657,0.0375256086580467,0.1862262493078,0.0391258633682567
4,71,0.0563380281690141,0.116182288568978,0.0273640184098717,0.109971504252363,0.00270455208566563
5,71,0.197183098591549,0.139781615237157,0.0472186887418358,0.289731728525548,0.104634468657551
6,71,0.197183098591549,0.166778612022686,0.0472186887418358,0.289731728525548,0.104634468657551
7,71,0.197183098591549,0.19507173083671,0.0472186887418358,0.289731728525548,0.104634468657551
8,70,0.128571428571429,0.230799926792675,0.040007287965807,0.20698571298441,0.0501571441584468
9,70,0.214285714285714,0.27653010537367,0.0490433258803997,0.310410633011298,0.118160795560131
10,70,0.271428571428571,0.366397126356702,0.0531514147158604,0.375605344271658,0.167251798585485
