"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.126760563380282,0.02066926813088,0.0394847667099346,0.204150706131754,0.0493704206288098
2,71,0.0985915492957746,0.0436220953062062,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.126760563380282,0.0664183742088884,0.0394847667099346,0.204150706131754,0.0493704206288098
4,71,0.211267605633803,0.0951638595657462,0.0484453524629706,0.306220496461225,0.116314714806381
5,71,0.169014084507042,0.130980358886604,0.04447634657729,0.256187723798531,0.0818404452155538
6,71,0.154929577464789,0.165733635884693,0.0429422152664617,0.239096319387054,0.0707628355425238
7,71,0.154929577464789,0.200769576935457,0.0429422152664617,0.239096319387054,0.0707628355425238
8,70,0.214285714285714,0.249651584102119,0.0490433258803997,0.310410633011298,0.118160795560131
9,70,0.157142857142857,0.313604006899392,0.0434986008956999,0.242400114898429,0.0718855993872854
10,70,0.242857142857143,0.458463699509902,0.0512525331806575,0.343312107891232,0.142402177823054
