"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.112676056338028,0.0826822618096384,0.0375256086580467,0.1862262493078,0.0391258633682567
2,71,0.126760563380282,0.106121926598435,0.0394847667099346,0.204150706131754,0.0493704206288098
3,71,0.0422535211267606,0.121876663789672,0.0238741303445037,0.0890468166019878,-0.00453977434846666
4,71,0.197183098591549,0.134784635901514,0.0472186887418358,0.289731728525548,0.104634468657551
5,71,0.154929577464789,0.150929672446653,0.0429422152664617,0.239096319387054,0.0707628355425238
6,71,0.23943661971831,0.165598609536252,0.0506446783845902,0.338700189352107,0.140173050084513
7,71,0.225352112676056,0.185123179829359,0.0495853990873811,0.322539494887323,0.128164730464789
8,70,0.114285714285714,0.203223234767574,0.0380271500370681,0.188818928358368,0.0397525002130607
9,70,0.1,0.224905170031288,0.0358568582800318,0.170279442228862,0.0297205577711377
10,70,0.342857142857143,0.294710220777566,0.0567332256453683,0.454054265122065,0.231660020592221
