"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.126760563380282,0.0570206317730817,0.0394847667099346,0.204150706131754,0.0493704206288098
2,71,0.0985915492957746,0.0855958221395359,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.154929577464789,0.106882048226622,0.0429422152664617,0.239096319387054,0.0707628355425238
4,71,0.0985915492957746,0.126728117599193,0.0353794831336766,0.167935336237781,0.0292477623537686
5,71,0.0985915492957746,0.144499224417797,0.0353794831336766,0.167935336237781,0.0292477623537686
6,71,0.169014084507042,0.162299620166441,0.04447634657729,0.256187723798531,0.0818404452155538
7,71,0.197183098591549,0.188336903227147,0.0472186887418358,0.289731728525548,0.104634468657551
8,70,0.271428571428571,0.219682642926531,0.0531514147158604,0.375605344271658,0.167251798585485
9,70,0.157142857142857,0.255629372934733,0.0434986008956999,0.242400114898429,0.0718855993872854
10,70,0.285714285714286,0.343894898466027,0.0539949247156039,0.391544338156869,0.179884233271702
