"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0845070422535211,0.070855371168459,0.0330099434577776,0.149206531430765,0.0198075530762771
2,71,0.140845070422535,0.0936764843795577,0.0412835841194703,0.221760895296697,0.0599292455483733
3,71,0.112676056338028,0.111686352220219,0.0375256086580467,0.1862262493078,0.0391258633682567
4,71,0.169014084507042,0.129629085091038,0.04447634657729,0.256187723798531,0.0818404452155538
5,71,0.211267605633803,0.14921319089741,0.0484453524629706,0.306220496461225,0.116314714806381
6,71,0.225352112676056,0.165449163935766,0.0495853990873811,0.322539494887323,0.128164730464789
7,71,0.126760563380282,0.184808387189163,0.0394847667099346,0.204150706131754,0.0493704206288098
8,70,0.171428571428571,0.205978881150344,0.0450461376696209,0.259719001261028,0.0831381415961145
9,70,0.128571428571429,0.238163661688347,0.040007287965807,0.20698571298441,0.0501571441584468
10,70,0.285714285714286,0.323780768335873,0.0539949247156039,0.391544338156869,0.179884233271702
