"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.126760563380282,0.0540913603660843,0.0394847667099346,0.204150706131754,0.0493704206288098
2,71,0.0985915492957746,0.0932564630956306,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.154929577464789,0.129287801390323,0.0429422152664617,0.239096319387054,0.0707628355425238
4,71,0.211267605633803,0.165517705888,0.0484453524629706,0.306220496461225,0.116314714806381
5,71,0.197183098591549,0.213970276031893,0.0472186887418358,0.289731728525548,0.104634468657551
6,71,0.225352112676056,0.286650678495087,0.0495853990873811,0.322539494887323,0.128164730464789
7,71,0.197183098591549,0.490905221515805,0.0472186887418358,0.289731728525548,0.104634468657551
8,70,0.185714285714286,0.786138631843834,0.0464795638343068,0.276814230829527,0.0946143405990443
9,70,0.128571428571429,0.892835838755753,0.040007287965807,0.20698571298441,0.0501571441584468
10,70,0.128571428571429,0.961322943147326,0.040007287965807,0.20698571298441,0.0501571441584468
