"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.140845070422535,0.0564069824339382,0.0412835841194703,0.221760895296697,0.0599292455483733
2,71,0.0563380281690141,0.0818083664684679,0.0273640184098717,0.109971504252363,0.00270455208566563
3,71,0.140845070422535,0.105089972540037,0.0412835841194703,0.221760895296697,0.0599292455483733
4,71,0.154929577464789,0.124174843865508,0.0429422152664617,0.239096319387054,0.0707628355425238
5,71,0.154929577464789,0.144370243634679,0.0429422152664617,0.239096319387054,0.0707628355425238
6,71,0.0985915492957746,0.163034598916008,0.0353794831336766,0.167935336237781,0.0292477623537686
7,71,0.23943661971831,0.188995455436279,0.0506446783845902,0.338700189352107,0.140173050084513
8,70,0.171428571428571,0.22714572947047,0.0450461376696209,0.259719001261028,0.0831381415961145
9,70,0.242857142857143,0.272215761927786,0.0512525331806575,0.343312107891232,0.142402177823054
10,70,0.257142857142857,0.351627451960623,0.0522385200188609,0.359530356379825,0.15475535790589
