"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.112676056338028,0.0778780958043649,0.0375256086580467,0.1862262493078,0.0391258633682567
2,71,0.140845070422535,0.105558765480441,0.0412835841194703,0.221760895296697,0.0599292455483733
3,71,0.0985915492957746,0.120220601669886,0.0353794831336766,0.167935336237781,0.0292477623537686
4,71,0.154929577464789,0.133729146762853,0.0429422152664617,0.239096319387054,0.0707628355425238
5,71,0.183098591549296,0.147674049764528,0.0458984637691245,0.27305958053678,0.0931376025618118
6,71,0.169014084507042,0.162603480421272,0.04447634657729,0.256187723798531,0.0818404452155538
7,71,0.169014084507042,0.180039462621578,0.04447634657729,0.256187723798531,0.0818404452155538
8,70,0.171428571428571,0.199756745121364,0.0450461376696209,0.259719001261028,0.0831381415961145
9,70,0.157142857142857,0.238303469770875,0.0434986008956999,0.242400114898429,0.0718855993872854
10,70,0.3,0.317385099405496,0.0547722557505166,0.407353621271013,0.192646378728987
