"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.140845070422535,0.0210969989470275,0.0412835841194703,0.221760895296697,0.0599292455483733
2,71,0.0985915492957746,0.0423404162614915,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.0985915492957746,0.0686967979674983,0.0353794831336766,0.167935336237781,0.0292477623537686
4,71,0.197183098591549,0.093126093720943,0.0472186887418358,0.289731728525548,0.104634468657551
5,71,0.225352112676056,0.126115362428154,0.0495853990873811,0.322539494887323,0.128164730464789
6,71,0.23943661971831,0.16607580460118,0.0506446783845902,0.338700189352107,0.140173050084513
7,71,0.140845070422535,0.203893036582276,0.0412835841194703,0.221760895296697,0.0599292455483733
8,70,0.142857142857143,0.252277669639751,0.0418242888406514,0.22483274898482,0.0608815367294661
9,70,0.114285714285714,0.317021112204255,0.0380271500370681,0.188818928358368,0.0397525002130607
10,70,0.257142857142857,0.463588387167874,0.0522385200188609,0.359530356379825,0.15475535790589
