"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.126760563380282,0.0774422607066554,0.0394847667099346,0.204150706131754,0.0493704206288098
2,71,0.0704225352112676,0.102322160487816,0.0303647316140876,0.129937409174879,0.010907661247656
3,71,0.169014084507042,0.117756789482188,0.04447634657729,0.256187723798531,0.0818404452155538
4,71,0.197183098591549,0.13396397000925,0.0472186887418358,0.289731728525548,0.104634468657551
5,71,0.197183098591549,0.151148081911144,0.0472186887418358,0.289731728525548,0.104634468657551
6,71,0.169014084507042,0.163256856961517,0.04447634657729,0.256187723798531,0.0818404452155538
7,71,0.140845070422535,0.18068276241148,0.0412835841194703,0.221760895296697,0.0599292455483733
8,70,0.1,0.207571890536377,0.0358568582800318,0.170279442228862,0.0297205577711377
9,70,0.157142857142857,0.235136407477428,0.0434986008956999,0.242400114898429,0.0718855993872854
10,70,0.328571428571429,0.304561526676893,0.056139144084518,0.438604150977084,0.218538706165773
