"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0704225352112676,0.0772793996507242,0.0303647316140876,0.129937409174879,0.010907661247656
2,71,0.0704225352112676,0.0954964348887197,0.0303647316140876,0.129937409174879,0.010907661247656
3,71,0.0985915492957746,0.112498177909434,0.0353794831336766,0.167935336237781,0.0292477623537686
4,71,0.126760563380282,0.132317251129748,0.0394847667099346,0.204150706131754,0.0493704206288098
5,71,0.253521126760563,0.153047005592596,0.0516281620177655,0.354712324315384,0.152329929205743
6,71,0.183098591549296,0.169497491133348,0.0458984637691245,0.27305958053678,0.0931376025618118
7,71,0.140845070422535,0.185879394068334,0.0412835841194703,0.221760895296697,0.0599292455483733
8,70,0.228571428571429,0.206869153332293,0.0501891466087817,0.326942155924641,0.130200701218216
9,70,0.214285714285714,0.231277697466884,0.0490433258803997,0.310410633011298,0.118160795560131
10,70,0.271428571428571,0.294037782065874,0.0531514147158604,0.375605344271658,0.167251798585485
