"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0563380281690141,0.0463908382408878,0.0273640184098717,0.109971504252363,0.00270455208566563
2,71,0.0563380281690141,0.0768225201476486,0.0273640184098717,0.109971504252363,0.00270455208566563
3,71,0.0985915492957746,0.0934605356544083,0.0353794831336766,0.167935336237781,0.0292477623537686
4,71,0.140845070422535,0.112196711922445,0.0412835841194703,0.221760895296697,0.0599292455483733
5,71,0.126760563380282,0.134182098502083,0.0394847667099346,0.204150706131754,0.0493704206288098
6,71,0.126760563380282,0.15787101061007,0.0394847667099346,0.204150706131754,0.0493704206288098
7,71,0.169014084507042,0.183404815025961,0.04447634657729,0.256187723798531,0.0818404452155538
8,70,0.242857142857143,0.217287498990604,0.0512525331806575,0.343312107891232,0.142402177823054
9,70,0.314285714285714,0.274530254726273,0.0554861892831557,0.423038645280699,0.205532783290729
10,70,0.328571428571429,0.363791892470973,0.056139144084518,0.438604150977084,0.218538706165773
