"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0704225352112676,0.0715197477297464,0.0303647316140876,0.129937409174879,0.010907661247656
2,71,0.0985915492957746,0.0969381751879136,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.0985915492957746,0.117143518346236,0.0353794831336766,0.167935336237781,0.0292477623537686
4,71,0.126760563380282,0.137847807229624,0.0394847667099346,0.204150706131754,0.0493704206288098
5,71,0.211267605633803,0.156829683249164,0.0484453524629706,0.306220496461225,0.116314714806381
6,71,0.225352112676056,0.174561975294976,0.0495853990873811,0.322539494887323,0.128164730464789
7,71,0.154929577464789,0.189780260347428,0.0429422152664617,0.239096319387054,0.0707628355425238
8,70,0.142857142857143,0.206557575407202,0.0418242888406514,0.22483274898482,0.0608815367294661
9,70,0.257142857142857,0.228639037982179,0.0522385200188609,0.359530356379825,0.15475535790589
10,70,0.271428571428571,0.278116211010578,0.0531514147158604,0.375605344271658,0.167251798585485
