"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0563380281690141,0.0573192557728354,0.0273640184098717,0.109971504252363,0.00270455208566563
2,71,0.0845070422535211,0.088050505531013,0.0330099434577776,0.149206531430765,0.0198075530762771
3,71,0.112676056338028,0.100669797941339,0.0375256086580467,0.1862262493078,0.0391258633682567
4,71,0.126760563380282,0.116076591028044,0.0394847667099346,0.204150706131754,0.0493704206288098
5,71,0.126760563380282,0.134676906001753,0.0394847667099346,0.204150706131754,0.0493704206288098
6,71,0.154929577464789,0.157219852122202,0.0429422152664617,0.239096319387054,0.0707628355425238
7,71,0.154929577464789,0.185746870963237,0.0429422152664617,0.239096319387054,0.0707628355425238
8,70,0.228571428571429,0.222159872063852,0.0501891466087817,0.326942155924641,0.130200701218216
9,70,0.3,0.25829177385351,0.0547722557505166,0.407353621271013,0.192646378728987
10,70,0.314285714285714,0.339220596207202,0.0554861892831557,0.423038645280699,0.205532783290729
