"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0704225352112676,0.0709061485950773,0.0303647316140876,0.129937409174879,0.010907661247656
2,71,0.0985915492957746,0.0937792365619448,0.0353794831336766,0.167935336237781,0.0292477623537686
3,71,0.126760563380282,0.11465846492606,0.0394847667099346,0.204150706131754,0.0493704206288098
4,71,0.112676056338028,0.131202102126469,0.0375256086580467,0.1862262493078,0.0391258633682567
5,71,0.126760563380282,0.145625860270689,0.0394847667099346,0.204150706131754,0.0493704206288098
6,71,0.126760563380282,0.162039935020078,0.0394847667099346,0.204150706131754,0.0493704206288098
7,71,0.225352112676056,0.177969276739705,0.0495853990873811,0.322539494887323,0.128164730464789
8,70,0.257142857142857,0.196455027440305,0.0522385200188609,0.359530356379825,0.15475535790589
9,70,0.185714285714286,0.229843177517688,0.0464795638343068,0.276814230829527,0.0946143405990443
10,70,0.328571428571429,0.336146769796133,0.056139144084518,0.438604150977084,0.218538706165773
