"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0704225352112676,0.0759493219319934,0.0303647316140876,0.129937409174879,0.010907661247656
2,71,0.0704225352112676,0.0970291293298932,0.0303647316140876,0.129937409174879,0.010907661247656
3,71,0.112676056338028,0.113653029845477,0.0375256086580467,0.1862262493078,0.0391258633682567
4,71,0.140845070422535,0.133967261447023,0.0412835841194703,0.221760895296697,0.0599292455483733
5,71,0.169014084507042,0.152790288537885,0.04447634657729,0.256187723798531,0.0818404452155538
6,71,0.225352112676056,0.169806239918585,0.0495853990873811,0.322539494887323,0.128164730464789
7,71,0.197183098591549,0.186949475763974,0.0472186887418358,0.289731728525548,0.104634468657551
8,70,0.142857142857143,0.206526968675745,0.0418242888406514,0.22483274898482,0.0608815367294661
9,70,0.271428571428571,0.229626219296234,0.0531514147158604,0.375605344271658,0.167251798585485
10,70,0.257142857142857,0.291842858111787,0.0522385200188609,0.359530356379825,0.15475535790589
