"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0140845070422535,0.0341173843929414,0.0139849686427412,0.0414950455820262,-0.0133260314975192
2,71,0.0845070422535211,0.0690953392944861,0.0330099434577776,0.149206531430765,0.0198075530762771
3,71,0.0704225352112676,0.0908454697550148,0.0303647316140876,0.129937409174879,0.010907661247656
4,71,0.0985915492957746,0.108158430649973,0.0353794831336766,0.167935336237781,0.0292477623537686
5,71,0.183098591549296,0.127039831329264,0.0458984637691245,0.27305958053678,0.0931376025618118
6,71,0.112676056338028,0.150462762354994,0.0375256086580467,0.1862262493078,0.0391258633682567
7,71,0.154929577464789,0.177891182073024,0.0429422152664617,0.239096319387054,0.0707628355425238
8,70,0.2,0.218451157438204,0.0478091443733758,0.293705922971816,0.106294077028184
9,70,0.342857142857143,0.275170403352766,0.0567332256453683,0.454054265122065,0.231660020592221
10,70,0.4,0.410033678466714,0.058554004376912,0.514765848578748,0.285234151421253
