"decile","decile_size","phat","avg_pihat","phat_se","phat_ub","phat_lb"
1,71,0.0845070422535211,0.0801969472756858,0.0330099434577776,0.149206531430765,0.0198075530762771
2,71,0.0845070422535211,0.0993358447851268,0.0330099434577776,0.149206531430765,0.0198075530762771
3,71,0.140845070422535,0.118289575259262,0.0412835841194703,0.221760895296697,0.0599292455483733
4,71,0.169014084507042,0.139401872193903,0.04447634657729,0.256187723798531,0.0818404452155538
5,71,0.0845070422535211,0.158557423026219,0.0330099434577776,0.149206531430765,0.0198075530762771
6,71,0.197183098591549,0.17664398173699,0.0472186887418358,0.289731728525548,0.104634468657551
7,71,0.253521126760563,0.191130448363313,0.0516281620177655,0.354712324315384,0.152329929205743
8,70,0.1,0.205840426728277,0.0358568582800318,0.170279442228862,0.0297205577711377
9,70,0.271428571428571,0.223697473627753,0.0531514147158604,0.375605344271658,0.167251798585485
10,70,0.271428571428571,0.264569494752952,0.0531514147158604,0.375605344271658,0.167251798585485
